candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags,generator_key,repeat_id,seed,result_sha256,run_directory
N2-3321D4CB,Claude Sonnet 4.6,anthropic,FlowPilot,Photochemical oxidation,0.948718,0.961538,0.058751,0.942308,0,0,claude,repeat_03,314944881,7c0a633bb4e01a914edf42ee77e183ab288c4f620e1aa8ebeb95c24006dde806,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/photochemical_oxidation/claude_flowpilot/repeat_03
N2-214B9E89,Qwen3.6-27B,qwen,One-shot,CuAAC,0.840278,0.854167,0.1671,0.760417,1,1,qwen,repeat_01,993848235,e6b856a7e49286a3af77f0b24df3c4a86d049a55f32d61496e991f77d14da9b9,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/cuaac/qwen_one_shot/repeat_01
N2-751D144A,Qwen3.6-27B,qwen,One-shot,CuAAC,0.861111,0.895833,0.159117,0.791667,1,1,qwen,repeat_02,1527107192,00c1b48021303a3c1c58774c22ba0aec0e54bbf687e9addc04fe68cfe7598bd8,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/cuaac/qwen_one_shot/repeat_02
N2-C0A5BA1A,Qwen3.6-27B,qwen,One-shot,CuAAC,0.847222,0.895833,0.182019,0.770833,0,0,qwen,repeat_03,2120885828,8b544a674e8e0f29430755a71675f710bcf6e7249719c9a2ac9d8052983b536f,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/cuaac/qwen_one_shot/repeat_03
N2-DE9454B0,Qwen3.6-27B,qwen,FlowPilot,CuAAC,0.944444,0.9375,0.05243,0.916667,0,0,qwen,repeat_01,639301727,253e9d58bfb01fea7ff7710c25b13ef657ed060b86ccad4c552a5d0058c77dcc,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/cuaac/qwen_flowpilot/repeat_01
N2-414B6752,Qwen3.6-27B,qwen,FlowPilot,CuAAC,0.944444,0.9375,0.05243,0.916667,0,0,qwen,repeat_02,860360948,c04c452637fe2c33df13e4fb0ded8ba46c97def2398fed5c77514051ba6f30b0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/cuaac/qwen_flowpilot/repeat_02
N2-110E4388,Qwen3.6-27B,qwen,FlowPilot,CuAAC,0.8125,0.833333,0.198737,0.71875,1,1,qwen,repeat_03,1573590539,23d77017504618a39b8d9e9c22bbef8a5a63b80e05fb46683150fe41d40efe45,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/cuaac/qwen_flowpilot/repeat_03
N2-45C1A6CF,GPT-5.4,openai,One-shot,CuAAC,0.875,0.833333,0.090811,0.895833,0,0,openai,repeat_01,391763124,f4a2dfacb8bf79cb357207cde460d71df3a6372ac2d96332880437e65a0c3143,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/cuaac/openai_one_shot/repeat_01
N2-D85E475A,GPT-5.4,openai,One-shot,CuAAC,0.9375,0.9375,0.0625,0.96875,0,0,openai,repeat_02,376236569,93d8187b6c06919e3496853e31d3b1a2453a48bd9fbd31308f63343cb3e41ea4,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/cuaac/openai_one_shot/repeat_02
N2-56C8A1EB,GPT-5.4,openai,One-shot,CuAAC,0.951389,0.958333,0.05243,0.979167,0,0,openai,repeat_03,275875392,fffe93ebe176532c72c34110ce3a0ad66bb9de5bbbdc3bf9f66e231a29b8ecb6,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/cuaac/openai_one_shot/repeat_03
N2-DE57F440,GPT-5.4,openai,FlowPilot,CuAAC,0.958333,0.9375,0.036084,0.96875,0,0,openai,repeat_01,758266547,b5c0ed440dafa00eae0c6921e2f367fc4d5ab1fe8a17a604a1d9166bbe3de38e,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/cuaac/openai_flowpilot/repeat_01
N2-F56C1786,GPT-5.4,openai,FlowPilot,CuAAC,0.9375,0.916667,0.05512,0.958333,0,0,openai,repeat_02,337409860,09270a465e9cf729d2f3c6fe82069cd0ff6bae0cdf7fb550d15c35b63799e2a1,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/cuaac/openai_flowpilot/repeat_02
N2-A8923ABE,GPT-5.4,openai,FlowPilot,CuAAC,0.958333,0.958333,0.041667,0.979167,0,0,openai,repeat_03,364285867,602b62732a1268967e24903fbde3d05d84c3a254f7dff9e1abec8779722b4a9f,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/cuaac/openai_flowpilot/repeat_03
N2-91B57A73,Claude Sonnet 4.6,anthropic,One-shot,CuAAC,0.944445,0.979167,0.078874,0.927083,0,0,claude,repeat_01,854856652,a12f1248cc9e80a8f01aa5f022422e10acb04fb2371e6868a8d8b4107dacbedc,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/cuaac/claude_one_shot/repeat_01
N2-08E9094C,Claude Sonnet 4.6,anthropic,One-shot,CuAAC,0.958333,0.979167,0.05512,0.947917,0,0,claude,repeat_02,1841975352,0a9c97053315f9b8373613d6ffa6e106f092317d2c255726c716b34e53268866,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/cuaac/claude_one_shot/repeat_02
N2-88250C75,Claude Sonnet 4.6,anthropic,One-shot,CuAAC,0.958333,0.979167,0.05512,0.947917,0,0,claude,repeat_03,1013852775,4cd4de378313758c2c142e6f36407735367b5514a2091c02f82aec3b5217538a,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/cuaac/claude_one_shot/repeat_03
N2-9141CE83,Claude Sonnet 4.6,anthropic,FlowPilot,CuAAC,0.819444,0.75,0.157748,0.854167,1,2,claude,repeat_01,250051332,83916e6ba6f743d6e70fc8f00d335d270acfdb5340bca92337524445d859a3e9,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/cuaac/claude_flowpilot/repeat_01
N2-B2E7E0D0,Claude Sonnet 4.6,anthropic,FlowPilot,CuAAC,0.833333,0.9375,0.236621,0.78125,1,3,claude,repeat_02,1154981824,34174a92288611e66b0580e1df534b3a25797297cf469857b461d42a93ab9bb3,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/cuaac/claude_flowpilot/repeat_02
N2-3DF31914,Claude Sonnet 4.6,anthropic,FlowPilot,CuAAC,0.965278,0.958333,0.031823,0.96875,0,0,claude,repeat_03,2064772401,de452d4db07a46c347794d60c99c01498f5fc7d35dd9d278a973338b01390c92,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_20260819/generation/cuaac/claude_flowpilot/repeat_03
