candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags,generator_key,repeat_id,seed,result_sha256,run_directory
N2-DA5B929E,Claude Sonnet 4.6,anthropic,FlowPilot,Photochemical oxidation,0.948718,0.961538,0.058751,0.942308,0,0,claude,repeat_02,27124511,952a21e6d8b1c3fbdea606e2afed7e390a1b3f38af20a836e529335ee64a8ed0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/claude_flowpilot/repeat_02
N2-3321D4CB,Claude Sonnet 4.6,anthropic,FlowPilot,Photochemical oxidation,0.948718,0.942308,0.048396,0.951923,0,0,claude,repeat_03,314944881,1c18c8a4817b9e1db6fdc7fe282012f31bc2783a0f9673fcca1b7fb447ff61ad,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/claude_flowpilot/repeat_03
N2-214B9E89,Qwen3.6-27B,qwen,One-shot,CuAAC,0.840278,0.833333,0.156366,0.760417,0,0,qwen,repeat_01,993848235,e6b856a7e49286a3af77f0b24df3c4a86d049a55f32d61496e991f77d14da9b9,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/cuaac/qwen_one_shot/repeat_01
N2-751D144A,Qwen3.6-27B,qwen,One-shot,CuAAC,0.861111,0.916667,0.173472,0.791667,0,0,qwen,repeat_02,1527107192,00c1b48021303a3c1c58774c22ba0aec0e54bbf687e9addc04fe68cfe7598bd8,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/cuaac/qwen_one_shot/repeat_02
N2-C0A5BA1A,Qwen3.6-27B,qwen,One-shot,CuAAC,0.833333,0.854167,0.178,0.75,0,0,qwen,repeat_03,2120885828,8b544a674e8e0f29430755a71675f710bcf6e7249719c9a2ac9d8052983b536f,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/cuaac/qwen_one_shot/repeat_03
N2-DE9454B0,Qwen3.6-27B,qwen,FlowPilot,CuAAC,0.951389,0.9375,0.043368,0.927083,0,0,qwen,repeat_01,639301727,c6e2f357459abf7f8afbab0c9dead89ba42617aa9e5012afcb5d58ef64ff7ab9,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/cuaac/qwen_flowpilot/repeat_01
N2-414B6752,Qwen3.6-27B,qwen,FlowPilot,CuAAC,0.951389,0.9375,0.043368,0.927083,0,0,qwen,repeat_02,860360948,a308962b88485fdd36912c52b7e758f2e74dd1c740b3f50a3c04f0690c787a5a,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/cuaac/qwen_flowpilot/repeat_02
N2-110E4388,Qwen3.6-27B,qwen,FlowPilot,CuAAC,0.840278,0.916667,0.20868,0.760417,1,3,qwen,repeat_03,1573590539,883170a84a250c122c4169269320dfad368b5c487da5271075613497b343784a,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/cuaac/qwen_flowpilot/repeat_03
N2-45C1A6CF,GPT-5.4,openai,One-shot,CuAAC,0.965278,0.979167,0.043368,0.989583,0,0,openai,repeat_01,391763124,8166e3ec5740bb0800fee0fbd86de29591d1843803ee585f356d0f1e5692cb32,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/cuaac/openai_one_shot/repeat_01
N2-D85E475A,GPT-5.4,openai,One-shot,CuAAC,0.958333,0.958333,0.041667,0.979167,0,0,openai,repeat_02,376236569,e2c0987d05085975e10143bd4460ee470b79bb6410e8d33f0ee7a07f7351fea2,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/cuaac/openai_one_shot/repeat_02
